count,diagnosis,group_name,subgroup_name,male count,female count,age mean,age range,age minimum,age maximum,age median,rank,start_char,end_char,pmcid
50.0,healthy,patients,group A,25.0,25.0,30.0,20-40,20.0,40.0,30.0,2.0,4940,8371,2927239
40.0,,healthy,group B,20.0,20.0,35.0,25-45,25.0,45.0,35.0,2.0,4940,8371,2927239
50.0,healthy,patients,group A,25.0,25.0,30.0,20-40,20.0,40.0,30.0,9.0,10575,13150,6783415
30.0,patients,patients,group B,15.0,15.0,45.0,40-50,40.0,50.0,45.0,9.0,10575,13150,6783415
30.0,Deaf,participants,deaf,15.0,15.0,25.0,20-30,20.0,30.0,25.0,,20877,22860,7416928
30.0,Hearing,participants,hearing,15.0,15.0,30.0,25-35,25.0,35.0,30.0,,20877,22860,7416928
20.0,healthy,patients,group A,10.0,10.0,35.0,25-45,25.0,45.0,30.0,,8992,12765,3969513
15.0,,healthy,group B,8.0,7.0,42.0,35-50,35.0,50.0,45.0,,8992,12765,3969513
50.0,NVG,patients,,30.0,20.0,55.0,40-70,40.0,70.0,58.0,5.0,5933,7219,8710777
50.0,,healthy,,25.0,25.0,60.0,45-75,45.0,75.0,62.0,5.0,5933,7219,8710777
20.0,CSM,patients,CSM,10.0,10.0,45.0,30-60,30.0,60.0,40.0,,22304,24990,6708884
50.0,,healthy,control,25.0,25.0,30.0,20-40,20.0,40.0,30.0,,1893,5243,8615846
30.0,patients,patients,treatment,15.0,15.0,45.0,40-50,40.0,50.0,45.0,,1893,5243,8615846
20.0,SNHL,patients,long-term bilateral SNHL,10.0,10.0,45.0,30-60,30.0,60.0,40.0,2.0,21629,24726,6433888
50.0,,healthy,control,25.0,25.0,30.0,20-40,20.0,40.0,30.0,,13598,17051,6327084
30.0,patients,patients,group A,15.0,15.0,45.0,35-55,35.0,55.0,45.0,,13598,17051,6327084
20.0,patients,patients,group B,10.0,10.0,50.0,40-60,40.0,60.0,50.0,,13598,17051,6327084
1.0,,healthy,volunteers,0.0,1.0,30.0,20-40,20.0,40.0,30.0,1.0,1663,5219,3428632
351.0,,healthy,,,,,,,,,,32396,33149,6219793
20.0,,healthy,control,10.0,10.0,30.0,20-40,20.0,40.0,30.0,4.0,2183,4708,7242759
30.0,patients,patients,experimental,15.0,15.0,45.0,35-55,35.0,55.0,45.0,4.0,2183,4708,7242759
16.0,,healthy,university students,10.0,6.0,20.8,18-27 years,18.0,27.0,,5.0,6649,7669,2643476
1.0,patients,patients,ADHD patients,1.0,0.0,30.0,20-40,20.0,40.0,30.0,,46920,49271,6934617
1.0,control,control,healthy controls,1.0,0.0,35.0,30-40,30.0,40.0,35.0,,46920,49271,6934617
3.0,depression,patients,acupuncture at LR3,2.0,1.0,35.0,25-45,25.0,45.0,35.0,,22479,23565,8417590
2.0,depression,patients,acupuncture at GV20,1.0,1.0,40.0,35-45,35.0,45.0,40.0,,22479,23565,8417590
3.0,depression,patients,acupuncture at GV20 and EX-HN3,2.0,1.0,30.0,25-35,25.0,35.0,30.0,,22479,23565,8417590
20.0,healthy,patients,group1,10.0,10.0,30.0,20-40,20.0,40.0,25.0,3.0,5579,8307,6882310
15.0,,healthy,group2,8.0,7.0,35.0,25-45,25.0,45.0,30.0,3.0,5579,8307,6882310
1.0,healthy,patients,group1,10.0,15.0,35.0,25-45,25.0,45.0,30.0,5.0,10481,14201,3644676
2.0,,healthy,group2,5.0,8.0,40.0,30-50,30.0,50.0,35.0,5.0,10481,14201,3644676
20.0,healthy,patients,Group A,10.0,10.0,35.0,25-45,25.0,45.0,30.0,3.0,2377,6319,8824509
15.0,patients,patients,Group B,8.0,7.0,40.0,30-50,30.0,50.0,45.0,3.0,2377,6319,8824509
16.0,,healthy,,10.0,6.0,31.06,,,,,1.0,12097,15305,4184873
16.0,right TLE,patients,seizure-free,11.0,5.0,35.0,25-45,25.0,45.0,35.0,1.0,41697,44667,3948047
13.0,left TLE,patients,seizure-free,12.0,1.0,40.0,30-50,30.0,50.0,40.0,1.0,41697,44667,3948047
73.0,,healthy,right-handed,,,,,,,,1.0,38802,41103,8642429
1.0,,healthy,,,,,,,,,1.0,38802,41103,8642429
20.0,healthy,patients,Group A,10.0,10.0,35.0,25-45,25.0,45.0,30.0,,2478,5280,7018059
15.0,patients,patients,Group B,8.0,7.0,40.0,30-50,30.0,50.0,45.0,,2478,5280,7018059
216.0,,healthy,,,,,,,,,,11469,12294,5996092
20.0,healthy,patients,group1,10.0,10.0,30.0,20-40,20.0,40.0,30.0,,13766,16737,5324352
15.0,,healthy,group2,8.0,7.0,45.0,35-55,35.0,55.0,45.0,,13766,16737,5324352
2.0,,healthy,morning,1.0,1.0,30.0,25-35,25.0,35.0,30.0,,5963,8183,4585243
2.0,patients,patients,evening,1.0,1.0,40.0,35-45,35.0,45.0,40.0,,5963,8183,4585243
20.0,healthy,patients,Group A,10.0,10.0,35.0,25-45,25.0,45.0,30.0,,1624,4039,3522615
15.0,patients,patients,Group B,8.0,7.0,42.0,35-50,35.0,50.0,45.0,,1624,4039,3522615
20.0,,healthy,control,10.0,10.0,35.0,20-50,20.0,50.0,30.0,,9470,12021,4607499
30.0,patients,patients,treatment,15.0,15.0,45.0,30-60,30.0,60.0,40.0,,9470,12021,4607499
50.0,healthy,patients,group1,25.0,25.0,35.0,20-50,20.0,50.0,30.0,1.0,2182,5036,6790316
30.0,patients,patients,group2,15.0,15.0,45.0,30-60,30.0,60.0,40.0,1.0,2182,5036,6790316
20.0,PD,patients,PD participants,10.0,10.0,60.0,50-70,50.0,70.0,55.0,,39906,42272,6206214
20.0,,healthy,Control participants,10.0,10.0,55.0,45-65,45.0,65.0,60.0,,39906,42272,6206214
15.0,chronic KOA pain,patients,,,,59.13,10.27,,,,5.0,5987,6698,8805588
15.0,,healthy,,,,58.53,8.15,,,,5.0,5987,6698,8805588
8.0,,healthy,,,,,,,,,1.0,13822,16214,7381702
19.0,MOAD,patients,,,,,,,,,1.0,13822,16214,7381702
21.0,OOAD,patients,,,,,,,,,1.0,13822,16214,7381702
137.0,healthy,participants,German-speaking,,,,16-60,16.0,60.0,,1.0,8489,9349,7226880
28.0,,healthy,,,,,,,,,1.0,4493,6771,5057137
21.0,,healthy,,,,,,,,,1.0,4493,6771,5057137
15.0,healthy,patients,group1,8.0,7.0,35.0,25-45,25.0,45.0,30.0,15.0,21945,24238,4076230
