count,diagnosis,group_name,subgroup_name,male count,female count,age mean,age range,age minimum,age maximum,age median,rank,start_char,end_char,pmcid
20,healthy,patients,group1,10.0,10.0,35.0,25-45,25.0,45.0,30.0,1.0,20254,24022,8517178
15,,healthy,group2,8.0,7.0,42.0,35-50,35.0,50.0,45.0,1.0,20254,24022,8517178
50,healthy,patients,group A,25.0,25.0,35.0,20-50,20.0,50.0,30.0,,1278,4475,7377905
30,patients,patients,group B,15.0,15.0,45.0,30-60,30.0,60.0,40.0,,1278,4475,7377905
32,,healthy,,8.0,24.0,,,,,,,11118,11830,5121279
33,,healthy,,10.0,23.0,,,,,,,11118,11830,5121279
30,low back pain and leg pain from acute lumbar radiculopathy and lumbar degenerative disc disease,patients,Group 1,15.0,15.0,45.0,30-60,30.0,60.0,45.0,1.0,1590,3369,3255994
20,,healthy,Group 2,10.0,10.0,35.0,25-45,25.0,45.0,35.0,1.0,1590,3369,3255994
10,healthy,patients,group1,5.0,5.0,30.0,20-40,20.0,40.0,30.0,16.0,21978,25445,3002291
15,patients,patients,group2,8.0,7.0,45.0,35-55,35.0,55.0,45.0,16.0,21978,25445,3002291
10,healthy,patients,group1,5.0,5.0,30.0,20-40,20.0,40.0,30.0,1.0,47108,50146,4805536
15,,healthy,group2,8.0,7.0,35.0,25-45,25.0,45.0,35.0,1.0,47108,50146,4805536
50,acute eye pain,patients,healthy,25.0,25.0,40.0,30-50,30.0,50.0,40.0,,2127,5532,8369943
20,schizophrenia,patients,group 1,10.0,10.0,30.0,20-40,20.0,40.0,30.0,7.0,2048,5663,2866566
15,,healthy,group 2,8.0,7.0,25.0,18-35,18.0,35.0,25.0,7.0,2048,5663,2866566
360,,healthy,,,,,,,,,1.0,19148,23008,6363380
360,ASD,patients,,,,,,,,,1.0,19148,23008,6363380
20,healthy,patients,young,10.0,10.0,25.0,20-30,20.0,30.0,25.0,3.0,1844,5259,6458356
15,patients,patients,old,8.0,7.0,60.0,55-65,55.0,65.0,60.0,3.0,1844,5259,6458356
20,IBS-D,patients,Group A,10.0,10.0,35.0,25-45,25.0,45.0,30.0,,29513,33077,8446353
15,,healthy,Group B,8.0,7.0,40.0,30-50,30.0,50.0,45.0,,29513,33077,8446353
50,healthy,patients,group1,25.0,25.0,35.0,20-50,20.0,50.0,30.0,3.0,4487,6402,5003890
30,patients,patients,group2,15.0,15.0,45.0,30-60,30.0,60.0,40.0,3.0,4487,6402,5003890
50,healthy,patients,group1,25.0,25.0,35.0,20-50,20.0,50.0,30.0,,1943,4255,6319771
30,patients,patients,group2,15.0,15.0,45.0,30-60,30.0,60.0,40.0,,1943,4255,6319771
21,BPD patients,patients,,,,,,,,,9.0,20716,23288,8405642
22,,healthy,,,,,,,,,9.0,20716,23288,8405642
36,,healthy,,,,,,,,,,12201,15311,6685938
32,European Americans,patients,EA,,,,,,,,2.0,20219,24138,5490687
55,Koreans,patients,KR,,,,,,,,2.0,20219,24138,5490687
50,SD,patients,SD patients,25.0,25.0,45.0,30-60,30.0,60.0,45.0,1.0,34771,36778,3398766
50,,healthy,Healthy controls,25.0,25.0,40.0,25-55,25.0,55.0,40.0,1.0,34771,36778,3398766
10,depression,patients,group 1,5.0,5.0,35.0,25-45,25.0,45.0,30.0,4.0,7923,9174,2935390
8,anxiety,patients,group 2,3.0,5.0,40.0,30-50,30.0,50.0,45.0,4.0,7923,9174,2935390
12,,healthy,group 1,6.0,6.0,28.0,20-35,20.0,35.0,25.0,4.0,7923,9174,2935390
50,,healthy,,19.0,31.0,25.06,18-39 years,18.0,39.0,,,9161,10758,7162893
50,healthy,patients,group A,25.0,25.0,35.0,20-50,20.0,50.0,30.0,,29627,33047,3968753
30,,healthy,group B,15.0,15.0,45.0,30-60,30.0,60.0,40.0,,29627,33047,3968753
812,,healthy,,,,,,,,,15.0,39392,42835,3872298
1317,,healthy,,,,,,,,,15.0,39392,42835,3872298
43,,healthy,,,,,,,,,,28625,32264,3498892
20,healthy,patients,group1,10.0,10.0,30.0,20-40,20.0,40.0,30.0,4.0,30144,30953,3923398
15,,healthy,group2,8.0,7.0,45.0,35-55,35.0,55.0,45.0,4.0,30144,30953,3923398
19,,healthy,,10.0,9.0,24.43,24.43 - 24.83,24.43,24.83,,,9001,9769,5698860
1,healthy,patients,adolescent males,1.0,0.0,16.5,16-17,16.0,17.0,16.5,2.0,45617,47913,7281781
20,schizophrenia,patients,conventional metaphors,10.0,10.0,35.0,25-45,25.0,45.0,30.0,,5868,9391,8195899
20,,healthy,conventional metaphors,10.0,10.0,30.0,20-40,20.0,40.0,25.0,,5868,9391,8195899
50,,healthy,control,25.0,25.0,30.0,20-40,20.0,40.0,30.0,7.0,2639,5909,3860184
30,patients,patients,mild,15.0,15.0,45.0,40-50,40.0,50.0,45.0,7.0,2639,5909,3860184
227,,healthy,,,,10.5,,,,,,17948,21548,5390693
1,healthy,patients,group1,5.0,3.0,30.0,20-40,20.0,40.0,25.0,3.0,11949,14760,4683460
2,,healthy,group2,4.0,6.0,35.0,30-40,30.0,40.0,35.0,3.0,11949,14760,4683460
1,healthy,patients,group1,5.0,3.0,30.0,20-40,20.0,40.0,25.0,,28493,31037,7293620
2,,healthy,group2,4.0,6.0,45.0,40-50,40.0,50.0,47.5,,28493,31037,7293620
50,insomnia,patients,group 1,25.0,25.0,35.0,20-50,20.0,50.0,30.0,5.0,1905,5571,6291517
30,,healthy,group 2,15.0,15.0,40.0,30-50,30.0,50.0,45.0,5.0,1905,5571,6291517
50,healthy,patients,group A,20.0,30.0,35.0,20-50,20.0,50.0,30.0,,16291,19349,5127572
40,,healthy,group B,15.0,25.0,45.0,30-60,30.0,60.0,40.0,,16291,19349,5127572
50,,healthy,control,25.0,25.0,30.0,20-40,20.0,40.0,30.0,4.0,22819,26634,7076146
30,patients,patients,CHR,15.0,15.0,25.0,18-35,18.0,35.0,25.0,4.0,22819,26634,7076146
20,cLBP,patients,Group A,10.0,10.0,45.0,30-60,30.0,60.0,42.0,2.0,2720,6419,7710896
20,,healthy,Group B,10.0,10.0,40.0,25-55,25.0,55.0,38.0,2.0,2720,6419,7710896
20,healthy,patients,Group A,10.0,10.0,35.0,20-50,20.0,50.0,30.0,,5653,9133,4112914
15,patients,patients,Group B,8.0,7.0,45.0,30-60,30.0,60.0,50.0,,5653,9133,4112914
20,IGA,patients,IGA group,10.0,10.0,25.0,20-30,20.0,30.0,25.0,3.0,24784,28598,3751515
20,,healthy,control group,10.0,10.0,30.0,25-35,25.0,35.0,30.0,3.0,24784,28598,3751515
12,healthy,patients,group1,6.0,6.0,30.0,20-40,20.0,40.0,30.0,,24218,27514,8415783
8,,healthy,group2,4.0,4.0,45.0,40-50,40.0,50.0,45.0,,24218,27514,8415783
20,asthmatic patients,patients,DA,10.0,10.0,35.0,25-45,25.0,45.0,30.0,1.0,14992,18617,5985698
20,asthmatic patients,patients,NDA,10.0,10.0,40.0,30-50,30.0,50.0,35.0,1.0,14992,18617,5985698
20,,healthy,,10.0,10.0,30.0,20-40,20.0,40.0,25.0,1.0,14992,18617,5985698
5,lesions involving M1,patients,M1,,,,,,,,12.0,27316,29921,3675382
5,lesions sparing M1,patients,M1+,,,,,,,,12.0,27316,29921,3675382
