group_name,subgroup_name,project_name,annotator_name,pmcid,diagnosis,count,male count,age mean,female count,age minimum,age maximum,age median
healthy,_,participant_demographics,Jerome_Dockes,2525845,,24,12.0,,12.0,,,
healthy,_,participant_demographics,Jerome_Dockes,2935390,,10,3.0,39.8,7.0,18.0,50.0,
healthy,_,participant_demographics,Jerome_Dockes,2993660,,48,24.0,26.4,24.0,,,
patients,_,participant_demographics,Jerome_Dockes,3045463,idiopathic Parkinson's Disease,21,14.0,,7.0,,,
healthy,_,participant_demographics,Jerome_Dockes,3045463,,19,12.0,,7.0,,,
healthy,_,participant_demographics,Jerome_Dockes,3078751,,14,6.0,24.8,8.0,22.0,29.0,
healthy,_,participant_demographics,Jerome_Dockes,3132672,,11,5.0,31.0,6.0,25.0,38.0,
healthy,_,participant_demographics,Jerome_Dockes,3258233,,12,,31.0,,18.0,55.0,
healthy,_,participant_demographics,Jerome_Dockes,3324921,,14,,,,,,
healthy,study 1,participant_demographics,Jerome_Dockes,3422286,,12,6.0,26.0,6.0,23.0,39.0,
healthy,study 2,participant_demographics,Jerome_Dockes,3422286,,14,7.0,23.0,7.0,24.0,30.0,
healthy,_,participant_demographics,Jerome_Dockes,3423412,,14,,,,,,
patients,AD,participant_demographics,Jerome_Dockes,3423412,Alzheimer disease,14,,,,,,
patients,MCI,participant_demographics,Jerome_Dockes,3423412,mild cognitive impairment,8,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,3539852,,31,,,,18.0,22.0,
healthy,_,participant_demographics,Jerome_Dockes,3605341,,32,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,3672681,,32,,,,,,
patients,22q11.2DS,participant_demographics,Jerome_Dockes,3701149,22q11.2 Deletion Syndrome ,13,9.0,16.14,4.0,,,
patients,ah,participant_demographics,Jerome_Dockes,3701149,auditory hallucination,12,5.0,15.97,7.0,,,
healthy,_,participant_demographics,Jerome_Dockes,3701149,,22,16.0,16.0,6.0,,,
patients,_,participant_demographics,Jerome_Dockes,3777673,obsessive–compulsive disorder,19,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,3777673,,19,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,3788350,,12,,,,,,
healthy,_,participant_demographics,Jerome_Dockes,3791281,,12,7.0,,5.0,19.0,32.0,
patients,_,participant_demographics,Jerome_Dockes,3791281,"Binge drinking
",12,7.0,,5.0,19.0,32.0,
