pmcid,total_count,average_count,n_groups
2525845,24,24.0,1
2935390,10,10.0,1
2993660,48,48.0,1
3045463,40,20.0,2
3078751,14,14.0,1
3132672,11,11.0,1
3258233,12,12.0,1
3324921,14,14.0,1
3422286,26,13.0,2
3423412,36,12.0,3
3539852,31,31.0,1
3605341,32,32.0,1
3672681,32,32.0,1
3701149,47,15.666666666666666,3
3777673,38,19.0,2
3788350,12,12.0,1
3791281,24,12.0,2
3842522,90,45.0,2
3869681,36,18.0,2
3889700,15,15.0,1
3893192,51,25.5,2
3894920,6,6.0,1
3913832,62,31.0,2
4029608,54,27.0,2
4034409,26,13.0,2
4048172,26,13.0,2
4072722,16,16.0,1
4215530,46,23.0,2
4255751,18,18.0,1
4280551,25,12.5,2
4332461,32,32.0,1
4349631,38,19.0,2
4370584,40,40.0,1
4380440,33,33.0,1
4416052,86,43.0,2
4436102,23,23.0,1
4458841,29,14.5,2
4477935,20,20.0,1
4493392,18,18.0,1
4522562,46,6.571428571428571,7
4530666,47,23.5,2
4717328,20,20.0,1
4732188,42,21.0,2
4869560,58,29.0,2
4936600,60,15.0,4
4975394,18,18.0,1
4983635,64,32.0,2
4990879,40,40.0,1
5104469,67,22.333333333333332,3
5266856,76,38.0,2
5270359,15,15.0,1
5339238,31,15.5,2
5371603,29,14.5,2
5428836,32,32.0,1
5447679,33,33.0,1
5552726,16,16.0,1
5655292,63,31.5,2
5686883,20,10.0,2
5719057,8,8.0,1
5758587,46,11.5,4
5832413,16,16.0,1
5857897,5,5.0,1
5881103,30,30.0,1
5890144,31,31.0,1
6004505,122,61.0,2
6195265,15,15.0,1
6198067,11,11.0,1
6200185,69,34.5,2
6215330,43,21.5,2
6220927,24,12.0,2
6350268,63,31.5,2
6389716,82,41.0,2
6434022,55,55.0,1
6646524,27,27.0,1
6675526,70,35.0,2
6688454,17,17.0,1
6699415,5,5.0,1
6726765,18,18.0,1
6908964,26,26.0,1
7004957,51,25.5,2
7038454,104,104.0,1
7057279,55,55.0,1
7082218,268,134.0,2
7090024,67,33.5,2
7099000,57,57.0,1
7275020,90,45.0,2
7339141,20,20.0,1
7406917,7,7.0,1
7456884,19,19.0,1
7493988,20,10.0,2
7539836,93,46.5,2
7758977,13,6.5,2
7836234,38,19.0,2
7851842,35,17.5,2
7913329,63,63.0,1
7981326,15,15.0,1
7994216,24,24.0,1
8459240,109,54.5,2
8569140,60,30.0,2
8615904,595,595.0,1
8699602,24,24.0,1
8764488,20,20.0,1
8893203,10,10.0,1
