count,diagnosis,group_name,subgroup_name,male count,female count,age mean,age range,age minimum,age maximum,age median,rank,start_char,end_char,pmcid,final
1,healthy,healthy,male,1.0,0.0,0.0,,0.0,0.0,0.0,0,10271,12993,6662889,
22,healthy,healthy,,,,23.55,,,,,0,9065,9940,7008231,
40,,,,15.0,25.0,21.2,18-35,18.0,35.0,,0,5302,7407,3842969,
18,,,,15.0,3.0,,,,,,0,5302,7407,3842969,
14,healthy,healthy,,,,24.7,,,,,0,12795,13230,3898984,
18,healthy,participants,,8.0,10.0,24.3,20 to 28,20.0,28.0,,0,13792,14276,4303944,
14,normal,participants,,0.0,7.0,23.35,,0.0,0.0,0.0,0,7767,10240,3807605,
20,healthy,healthy,,16.0,4.0,26.0,20-36,20.0,36.0,25.0,0,6158,6634,4717328,
18,,participants,female,,18.0,24.0,20-30,20.0,30.0,,0,8627,9353,3631111,
27,,,,,,,,,,,0,8088,8628,3533380,
17,severely obese,patients,female,,17.0,,,,,,0,5004,5940,5116051,
12,normal-weight,healthy,female,,12.0,,,,,,0,5004,5940,5116051,
23,healthy,healthy,meditation-naive adults,,,,,,,,0,17533,19334,8342928,
29,healthy,healthy,,,15.0,34.31,,,,,0,12519,13485,4649056,
18,CP/CPPS,patients,right-handed male,18.0,0.0,35.0,20-50,20.0,50.0,35.0,0,5732,7955,8121565,
21,healthy,controls,right-handed age and gender-matched,21.0,0.0,35.0,20-50,20.0,50.0,35.0,0,5732,7955,8121565,
266,healthy,college students,,,,21.2,18.4-24.8,18.4,24.8,,0,33037,33965,5701148,
12,chronic Wernickes aphasia,patients,,,2.0,70.1,,,,,0,9973,13066,3927705,
12,,control participants,,,1.0,71.0,,,,,0,9973,13066,3927705,
64,patients,controls,,0.0,0.0,0.0,,0.0,0.0,0.0,1,5609,6770,7840726,
64,patients,patients,,0.0,0.0,0.0,,0.0,0.0,0.0,1,5609,6770,7840726,
52,normal cognition,older adults,with normal cognition,,,,,,,,0,21517,23312,6519999,
12,brain tumor,patients,tumor patients,7.0,12.0,45.79,8-74,8.0,74.0,,0,12402,13512,8157607,
7,space-occupying brain lesion,patients,lesion patients,7.0,0.0,45.79,8-74,8.0,74.0,,0,12402,13512,8157607,
19,,healthy,,10.0,9.0,46.16,13-78,13.0,78.0,,0,12402,13512,8157607,
20,PKU,patients,PKU group,10.0,10.0,25.0,20-30,20.0,30.0,25.0,3,10802,13174,8897706,
60,idiopathic PD,patients,,36.0,0.0,,,,,,0,4727,5826,4492789,
