count,diagnosis,group_name,subgroup_name,male count,female count,age mean,age range,age minimum,age maximum,age median,rank,start_char,end_char,pmcid,final
1,,healthy,male,1.0,0.0,,,,,,,10271,12993,6662889,
22,,healthy,,,,23.55,,,,,,9065,9940,7008231,
40,,healthy,,15.0,25.0,21.2,18-35,18.0,35.0,,,5302,7407,3842969,
18,,healthy,,15.0,3.0,,,,,,,5302,7407,3842969,
14,,healthy,,,,24.7,,,,,,12795,13230,3898984,
18,healthy,participants,,8.0,10.0,24.3,20 to 28,20.0,28.0,,,13792,14276,4303944,
14,normal,participants,,7.0,7.0,23.35,,,,,,7767,10240,3807605,
20,,healthy,,16.0,4.0,26.0,20-36,20.0,36.0,25.0,,6158,6634,4717328,
18,,healthy,female,0.0,18.0,24.0,20-30,20.0,30.0,,,8627,9353,3631111,
27,,healthy,,,,,,,,,,8088,8628,3533380,
17,severely obese,patients,female,0.0,17.0,,,,,,,5004,5940,5116051,
12,,healthy,female,0.0,12.0,,,,,,,5004,5940,5116051,
23,,healthy,meditation-naive adults,,,,,,,,,17533,19334,8342928,
29,,healthy,,14.0,15.0,34.31,,,,,,12519,13485,4649056,
18,CP/CPPS,patients,right-handed male,18.0,0.0,35.0,20-50,20.0,50.0,35.0,,5732,7955,8121565,
21,healthy,controls,right-handed age and gender-matched,21.0,0.0,35.0,20-50,20.0,50.0,35.0,,5732,7955,8121565,
266,healthy,college students,,,,21.2,18.4-24.8,18.4,24.8,,,33037,33965,5701148,
12,chronic Wernickes aphasia,patients,,10.0,2.0,70.1,,,,,,9973,13066,3927705,
12,,healthy,,11.0,1.0,71.0,,,,,,9973,13066,3927705,
64,patients,controls,,,,,,,,,1.0,5609,6770,7840726,
64,patients,patients,,,,,,,,,1.0,5609,6770,7840726,
52,normal cognition,older adults,with normal cognition,,,,,,,,,21517,23312,6519999,
12,brain tumor,patients,tumor patients,7.0,12.0,45.79,8-74,8.0,74.0,,,12402,13512,8157607,
7,space-occupying brain lesion,patients,lesion patients,7.0,0.0,45.79,8-74,8.0,74.0,,,12402,13512,8157607,
19,,healthy,,10.0,9.0,46.16,13-78,13.0,78.0,,,12402,13512,8157607,
20,PKU,patients,PKU group,10.0,10.0,25.0,20-30,20.0,30.0,25.0,3.0,10802,13174,8897706,
60,idiopathic PD,patients,,36.0,24.0,,,,,,,4727,5826,4492789,
43,healthy,controls,,21.0,22.0,,,,,,,4727,5826,4492789,
60,,healthy,,,,,,,,,,7479,10011,4396619,
30,children,patients,children,19.0,11.0,10.2,7-12,7.0,12.0,,,7479,10011,4396619,
30,adults,patients,adults,24.0,6.0,24.2,18-31,18.0,31.0,,,7479,10011,4396619,
27,morbidly obese,patients,neurologically intact,,,41.4,,,,,,5932,6592,4320085,
14,,healthy,age-matched,,,22.6,,,,,,5932,6592,4320085,
20,cirrhotic patients with MHE,patients,MHE,,,,,,,,1.0,6253,7426,4890427,
23,cirrhotic patients without MHE,patients,NHE,,,,,,,,1.0,6253,7426,4890427,
18,,healthy,,,,,,,,,1.0,6253,7426,4890427,
30,,healthy,,15.0,15.0,21.74,19-24,19.0,24.0,21.74,,10779,11578,5585191,
6,,healthy,young adults,5.0,1.0,28.5,22-35,22.0,35.0,28.0,,10745,11773,3894920,
31,healthy,patients,adults,14.0,17.0,,,,,,,8818,10414,3922109,
12,recent onset of tinnitus,patients,RTIN,5.0,7.0,48.1,10.3,48.1,58.4,48.1,,6818,10523,4515536,
13,tinnitus for more than 1 year,patients,LTIN,9.0,4.0,54.7,7.0,47.7,61.7,54.7,,6818,10523,4515536,
332,,healthy,,,,,,,,,,9432,11473,3967532,
45,chronic bilateral tinnitus,patients,,,,,,,,,,5175,7585,8240196,
50,,healthy,,,,,,,,,,5175,7585,8240196,
20,migraine,patients,,,,,,,,,,5175,7585,8240196,
25,tinnitus patients without migraine,patients,,,,,,,,,,5175,7585,8240196,
11,ischemic stroke,patients,left frontoparietal stroke patients,,,,,,,,,5335,7061,6532294,
21,,healthy,right-handed male,21.0,0.0,25.86,22-30 years,22.0,30.0,,1.0,8476,9145,3602016,
7,low grade gliomas and cavernous angiomas,patients,right-handed,4.0,3.0,41.4,36-48,36.0,48.0,41.0,,8363,9345,6193478,
36,relapsing-remitting MS,patients,,,,,,,,,2.0,6604,8477,7973271,
36,,healthy,,,,26.6,,,,,,6318,6755,6786756,
5,stroke,participants,,3.0,2.0,57.4,41-74,41.0,74.0,57.4,,13831,15121,4793190,
30,healthy,older adults,,,,70.1,65-80,65.0,80.0,,,8649,9396,5810285,
15,,healthy,,,,,,,,,,8649,9396,5810285,
15,,healthy,,,,,,,,,,8649,9396,5810285,
15,Japanese-L1/English-L2,patients,J1/E2,13.0,32.0,29.3,6.4 years,,,,,8967,11404,4006067,
14,English-L1/Japanese-L2,patients,E1/J2,,,26.2,5.7 years,,,,,8967,11404,4006067,
16,,healthy,E1,,,25.7,5.3 years,,,,,8967,11404,4006067,
36,free of psychiatric or neurologic disorders,participants,female,0.0,36.0,22.0,,,,,,7477,8243,5485378,
79,ASD,patients,children,,,,,,,,,5973,7509,5025431,
105,,healthy,children,,,,,,,,,5973,7509,5025431,
22,,healthy,,,,,,,,,,11647,14534,5638238,
21,,healthy,,,,,,,,,,11647,14534,5638238,
1,,healthy,,,,,,,,,,11647,14534,5638238,
13,,healthy,,,,,,,,,,11647,14534,5638238,
3,,healthy,,,,,,,,,,11647,14534,5638238,
19,,healthy,,,,,,,,,,11647,14534,5638238,
18,,healthy,,,,,,,,,,11647,14534,5638238,
1,,healthy,,,,,,,,,,11647,14534,5638238,
19,,healthy,,,,,,,,,,11647,14534,5638238,
13,,healthy,,,,,,,,,,11647,14534,5638238,
32,,healthy,righthanded current ecigarette users,32.0,0.0,,,,,,,10922,14186,8519860,
19,,healthy,subjects,19.0,0.0,,,,,,,10922,14186,8519860,
24,,healthy,,,,24.4,,,,,,8959,9612,7033450,
60,PD,patients,PD-NC,15.0,45.0,63.11,9.27,,,,,7468,8625,6338059,
60,PD,patients,PD-MCI,16.0,44.0,62.59,6.61,,,,,7468,8625,6338059,
30,,healthy,,11.0,19.0,59.44,5.77,,,,,7468,8625,6338059,
38,medically refractory TLE and unilateral hippocampal sclerosis (HS),patients,,,,,,,,,,6651,7835,3677092,
15,,healthy,,,,,,,,,,6651,7835,3677092,
2,aphasia,patients,Participant 1,1.0,1.0,65.0,65,65.0,65.0,65.0,,14452,16669,6092994,
2,aphasia,patients,Participant 2,1.0,1.0,72.0,72,72.0,72.0,72.0,,14452,16669,6092994,
21,idiopathic PD,patients,,14.0,7.0,,,,,,,6018,9180,3045463,
19,,healthy,,12.0,7.0,,,,,,,6018,9180,3045463,
40,,healthy,,,,,,,,,,47678,49956,2713432,
55,PD patients,patients,,,,,,,,,,30584,31278,8885704,
48,,healthy,,,,,,,,,,30584,31278,8885704,
29,AD,patients,,11.0,18.0,72.33,,,,,1.0,8081,9414,6905409,
65,MCI,patients,,36.0,29.0,71.8,,,,,1.0,8081,9414,6905409,
30,,healthy,,11.0,19.0,74.18,,,,,1.0,8081,9414,6905409,
1,healthy,patients,group1,10.0,15.0,30.0,20-40,20.0,40.0,25.0,,26726,29484,3178514,
2,,healthy,group2,5.0,8.0,45.0,40-50,40.0,50.0,47.0,,26726,29484,3178514,
17,patients,patients,,6.0,11.0,43.5,,,,,,10807,13847,7687999,
17,,healthy,,,,,,,,,,10807,13847,7687999,
20,MSA-c type,patients,,,,,,,,,,6281,8356,6328464,
20,normal,subjects,,,,,,,,,,6281,8356,6328464,
30,schizophrenia,patients,,,,,,,,,,11838,14392,4738294,
26,healthy,controls,,,,,,,,,,11838,14392,4738294,
8,Mah-Jong experts,patients,right-handed males,8.0,0.0,30.8,6.9 years,30.8,37.7,30.8,,15836,17242,1698492,
12,,healthy,nave to Mah-Jong,6.0,6.0,29.8,6.5 years,29.8,36.3,29.8,,15836,17242,1698492,
25,,healthy,,12.0,13.0,21.82,18-29,18.0,29.0,21.0,,14926,15569,3404037,
30,,healthy,,10.0,20.0,,1825,,,,,15988,18765,5881103,
31,,healthy,,30.0,31.0,,,,,,,13535,14516,5991324,
776,ADHD,patients,training,400.0,376.0,25.0,18-40,18.0,40.0,26.0,,9921,12013,3499771,
197,ADHD,patients,test,100.0,97.0,27.0,20-45,20.0,45.0,28.0,,9921,12013,3499771,
68,,healthy,,68.0,0.0,,,,,,,10258,11069,6234325,
40,,healthy,,0.0,40.0,,,,,,,10258,11069,6234325,
30,healthy,EG,,15.0,15.0,32.6,10.3,,,,,24885,26367,8566670,
15,,healthy,,,,,,,,,,24885,26367,8566670,
11,,healthy,,6.0,5.0,23.91,,,,,,8965,9714,5012606,
49,,healthy,preliminary behavioral experiment,,,,,,,,,8965,9714,5012606,
17,healthy,nave,individuals,8.0,9.0,20.0,,,,,,5641,6353,6529676,
45,,healthy,,21.0,24.0,29.0,,,,,,6831,9378,4299407,
7,North American football fan,Fans,,4.0,3.0,30.7,22-57,22.0,57.0,,,9142,11021,6043673,
8,Non-Fans,Non-Fans,,4.0,4.0,30.7,22-57,22.0,57.0,,,9142,11021,6043673,
16,depressed patients,patients,,6.0,10.0,48.5,48.5-13.6,13.6,48.5,,,6054,9196,4872412,
10,,healthy,,5.0,5.0,45.6,45.6-13.1,13.1,45.6,,,6054,9196,4872412,
4,MS,control,,2.0,2.0,50.3,7.3,50.3,57.6,50.3,,8088,9463,8384810,
5,MS,experimental,,2.0,3.0,49.0,7.3,49.0,56.3,49.0,,8088,9463,8384810,
37,HTAs,patients,Trait Anger,20.0,17.0,25.5,1.8,25.5,25.5,25.5,,6843,9631,5908080,
17,,healthy,,17.0,0.0,11.8,0.49,11.8,11.8,11.8,,6843,9631,5908080,
62,patient cases,patients,,32.0,30.0,27.9,14 yr to 48 yr,14.0,48.0,,,14455,15287,5655301,
64,,healthy,controls,35.0,29.0,29.1,15 to 45,15.0,45.0,,,14455,15287,5655301,
50,tinnitus,patients,group A,25.0,25.0,40.0,30-50,30.0,50.0,35.0,,20435,22238,4975911,
30,,healthy,group B,15.0,15.0,35.0,25-45,25.0,45.0,30.0,,20435,22238,4975911,
13,chronic pain,patients,,4.0,9.0,51.8,43 to 65,43.0,65.0,,,8990,10646,4048172,
13,,healthy,,4.0,9.0,48.7,38 to 62,38.0,62.0,,,8990,10646,4048172,
30,healthy,participants,,,,,,,,,,6353,10031,7329310,
22,CADASIL,patients,genetically confirmed,,,,,,,,,7660,8902,6734224,
44,,healthy,,,,,,,,,,7660,8902,6734224,
31,NAION,patients,,,,,,,,,,4884,7049,7499295,
31,,healthy,,,,,,,,,,4884,7049,7499295,
16,22q11DS,patients,,,,,,,,,,7507,9011,3930118,
25,healthy,controls,,,,,,,,,,7507,9011,3930118,
23,ADHD,patients,,,,,,,,,,8102,11698,6934617,
23,healthy,controls,,,,,,,,,,8102,11698,6934617,
20,CBP,patients,,,,,,,,,,7170,10225,8886665,
20,CM,patients,,,,,,,,,,7170,10225,8886665,
24,healthy,participants,,13.0,11.0,12.87,8-16.83,8.0,16.83,,,12091,12816,3872298,
12,,healthy,,,,10.46,,,,1.64,,12091,12816,3872298,
12,,healthy,,,,15.28,,,,1.4,,12091,12816,3872298,
25,isolated left BG ischemic stroke,patients,,18.0,7.0,52.73,3973,10.51,,,,6871,8369,7533550,
26,,healthy,,15.0,11.0,51.84,3070,8.06,,,,6871,8369,7533550,
40,,healthy,,,,,,,,,,9710,13641,6523415,
30,high fitness,patients,high fitness,,,,,,,,2.0,15255,17280,7509111,
30,low fitness,patients,low fitness,,,,,,,,2.0,15255,17280,7509111,
43,high plasticity,patients,high plasticity,,,,,,,,2.0,15255,17280,7509111,
17,low plasticity,patients,low plasticity,,,,,,,,2.0,15255,17280,7509111,
24,aphasia after stroke,patients,,16.0,8.0,51.16,9.48,18.0,70.0,,,9009,11164,8565294,
19,healthy,controls,HC,10.0,9.0,48.39,10.66,18.0,70.0,,,9009,11164,8565294,
1,minimally conscious state,patients,,1.0,0.0,,,,,,,6205,7204,8894202,
24,,healthy,,8.0,16.0,,18-38,,,,,7440,8083,4679864,
16,,healthy,,8.0,8.0,21.6,18-90,18.0,90.0,21.6,,7671,8888,3139954,
30,healthy,patients,right-handed native French-speaking participants,13.0,17.0,29.3,29.3 - 29.3,29.3,29.3,29.3,,6497,8451,3946483,
