pmcid,pmid,doi,title,journal,publication_year,license,count,females_count,males_count,n_groups,healthy_count,patient_count,unknown_count
7563756,32887487.0,10.3390/brainsci10090603,Partial Similarity Reveals Dynamics in Brainstem-Midbrain Networks during Trigeminal Nociception,Brain Sci,2020,http://creativecommons.org/licenses/by/4.0/,29.0,,,1,29.0,,
5030332,27672554.0,10.1016/j.nicl.2016.07.006,Alpha oscillation neurofeedback modulates amygdala complex connectivity and arousal in posttraumatic stress disorder,Neuroimage Clin,2016,http://creativecommons.org/licenses/by-nc-nd/4.0/,80.0,,,1,,80.0,
6820536,31664132.0,10.1038/s41598-019-51990-4,Functional connectivity of music-induced analgesia in fibromyalgia,Sci Rep,2019,http://creativecommons.org/licenses/by/4.0/,40.0,,,2,20.0,20.0,
8154462,34032696.0,10.1097/MD.0000000000025823,Brain activation in response to visual sexual stimuli in male patients with right middle cerebral artery infarction,Medicine (Baltimore),2021,https://creativecommons.org/licenses/by-nc/4.0/,20.0,,,1,,,20.0
8544331,34623972.0,10.18632/aging.203610,Decreased gray matter volume and increased white matter volume in patients with neovascular age-related macular degeneration: a voxel-based morphometry study,Aging (Albany NY),2021,https://creativecommons.org/licenses/by/3.0/,36.0,,,2,18.0,18.0,
3447931,23029031.0,10.1371/journal.pone.0045470,Patterns of Spontaneous Brain Activity in Amyotrophic Lateral Sclerosis: A Resting-State fMRI Study,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/,40.0,,,2,20.0,20.0,
6382839,30787382.0,10.1038/s41598-019-38990-0,Brain activation during disorder-related script-driven imagery in panic disorder: a pilot study,Sci Rep,2019,http://creativecommons.org/licenses/by/4.0/,34.0,,,2,17.0,17.0,
6197719,30241918.0,10.1016/j.ebiom.2018.09.012,"Disrupted asymmetry of inter- and intra-hemispheric functional connectivity in patients with drug-naive, first-episode schizophrenia and their unaffected siblings",EBioMedicine,2018,http://creativecommons.org/licenses/by-nc-nd/4.0/,92.0,,,2,46.0,46.0,
2748718,19794914.0,10.1371/journal.pone.0007272,The Neural Correlates of Religious and Nonreligious Belief,PLoS One,2009,http://creativecommons.org/licenses/by/4.0/,30.0,,,1,,,30.0
4330553,24021855.0,10.1016/j.concog.2013.08.011,Brain correlates of subjective freedom of choice,Conscious Cogn,2013,http://creativecommons.org/licenses/by/3.0/,4.0,,,1,,,4.0
6290711,29243122.0,10.1007/s11682-017-9805-9,Aberrant baseline brain activity in psychogenic erectile dysfunction patients: a resting state fMRI study,Brain Imaging Behav,2017,http://creativecommons.org/licenses/by/4.0/,52.0,,,2,26.0,26.0,
7005761,22727763.0,10.1016/j.dcn.2012.05.001,Effects of the DRD4 genotype on neural networks associated with executive functions in children and adolescents,Dev Cogn Neurosci,2012,https://creativecommons.org/licenses/by-nc-nd/4.0/,16.0,,,1,,,16.0
6667657,31396035.0,10.3389/fnins.2019.00747,Functional Brain Changes During Mindfulness-Based Cognitive Therapy Associated With Tinnitus Severity,Front Neurosci,2019,http://creativecommons.org/licenses/by/4.0/,12.0,,,1,,,12.0
4589842,26594618.0,10.1016/j.nicl.2015.08.020,A preliminary evaluation of the correlation between regional energy phosphates and resting state functional connectivity in depression,Neuroimage Clin,2015,http://creativecommons.org/licenses/by-nc-nd/4.0/,22.0,,,2,11.0,11.0,
3984441,24818081.0,10.1016/j.nicl.2014.03.013,fMRI resting state networks and their association with cognitive fluctuations in dementia with Lewy bodies,Neuroimage Clin,2014,https://creativecommons.org/licenses/by/3.0/,33.0,,,2,17.0,16.0,
3869649,24376494.0,10.1371/journal.pone.0080256,fMRI Guided rTMS Evidence for Reduced Left Prefrontal Involvement after Task Practice,PLoS One,2013,http://creativecommons.org/licenses/by/4.0/,19.0,9.0,10.0,1,,,19.0
4029023,24860462.0,10.3389/fnhum.2014.00226,The compensatory dynamic of inter-hemispheric interactions in visuospatial attention revealed using rTMS and fMRI,Front Hum Neurosci,2014,http://creativecommons.org/licenses/by/3.0/,10.0,3.0,7.0,1,10.0,,
4318429,25698948.0,10.3389/fnbeh.2015.00008,Seeking pleasant touch: neural correlates of behavioral preferences for skin stroking,Front Behav Neurosci,2015,http://creativecommons.org/licenses/by/4.0/,18.0,9.0,9.0,1,18.0,,
8379626,34419765.0,10.1016/j.dcn.2021.101006,Is the prefrontal cortex organized by supramodal or modality-specific sensory demands during adolescence?,Dev Cogn Neurosci,2021,https://creativecommons.org/licenses/by/4.0/,67.0,,,1,67.0,,
3492343,23144849.0,10.1371/journal.pone.0048107,Distinct Contributions of the Dorsolateral Prefrontal and Orbitofrontal Cortex during Emotion Regulation,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/,58.0,,,1,,,58.0
3780305,24069007.0,10.3389/fpsyg.2013.00567,Brain activation patterns resulting from learning letter forms through active self-production and passive observation in young children,Front Psychol,2013,http://creativecommons.org/licenses/by/3.0/,17.0,9.0,8.0,1,,,17.0
6344389,30406305.0,10.3758/s13415-018-00651-6,Explaining the neural activity distribution associated with discrete movement sequences: Evidence for parallel functional systems,Cogn Affect Behav Neurosci,2018,OpenAccess,18.0,10.0,8.0,1,18.0,,
4174863,25309400.0,10.3389/fnhum.2014.00741,Neural correlates of moral and non-moral emotion in female psychopathy,Front Hum Neurosci,2014,http://creativecommons.org/licenses/by/4.0/,46.0,,,1,,,46.0
7002496,32024891.0,10.1038/s41598-020-58839-1,Stimulus arousal drives amygdalar responses to emotional expressions across sensory modalities,Sci Rep,2020,http://creativecommons.org/licenses/by/4.0/,20.0,10.0,10.0,1,20.0,,
4274095,25532132.0,10.1371/journal.pone.0115549,Investigating the Neural Correlates of Voice versus Speech-Sound Directed Information in Pre-School Children,PLoS One,2014,http://creativecommons.org/licenses/by/4.0/,20.0,,,1,,,20.0
6347794,30683074.0,10.1186/s12888-019-2031-9,Hyperactivity/restlessness is associated with increased functional connectivity in adults with ADHD: a dimensional analysis of resting state fMRI,BMC Psychiatry,2019,http://creativecommons.org/licenses/by/4.0/,38.0,20.0,18.0,1,,,38.0
7829678,33505236.0,10.3389/fnins.2020.588684,Less Is Better: Single-Digit Brain Functional Connections Predict T2DM and T2DM-Induced Cognitive Impairment,Front Neurosci,2020,http://creativecommons.org/licenses/by/4.0/,53.0,,,1,,53.0,
5390693,27651540.0,10.1093/scan/nsw136,Peers and parents: a comparison between neural activation when winning for friends and mothers in adolescence,Soc Cogn Affect Neurosci,2016,http://creativecommons.org/licenses/by-nc/4.0/,233.0,,,1,,,233.0
6878729,31798467.0,10.3389/fpsyt.2019.00747,An Individualized Approach to Neuroplasticity After Early Unilateral Brain Damage,Front Psychiatry,2019,http://creativecommons.org/licenses/by/4.0/,8.0,5.0,3.0,1,,8.0,
7779563,33164856.0,10.1016/j.neuroimage.2020.117488,Longitudinal change in executive function is associated with impaired top-down frontolimbic regulation during reappraisal in older adults,Neuroimage,2021,http://creativecommons.org/licenses/by/4.0/,34.0,,,1,,,34.0
5870086,29587625.0,10.1186/s11689-018-9228-y,The effects of intranasal oxytocin on reward circuitry responses in children with autism spectrum disorder,J Neurodev Disord,2018,http://creativecommons.org/licenses/by/4.0/,28.0,,,1,,,28.0
7649291,33192383.0,10.3389/fnhum.2020.509258,White Matter Neuroplasticity: Motor Learning Activates the Internal Capsule and Reduces Hemodynamic Response Variability,Front Hum Neurosci,2020,http://creativecommons.org/licenses/by/4.0/,12.0,7.0,5.0,1,12.0,,
5776089,29387003.0,10.3389/fnhum.2018.00001,Weak but Critical Links between Primary Somatosensory Centers and Motor Cortex during Movement,Front Hum Neurosci,2018,http://creativecommons.org/licenses/by/4.0/,21.0,,,1,21.0,,
2151069,17958919.0,10.1186/1744-9081-3-56,Dissociation of neural correlates of verbal and non-verbal visual working memory with different delays,Behav Brain Funct,2007,http://creativecommons.org/licenses/by/2.0,12.0,6.0,6.0,1,,,12.0
4075342,24685436.0,10.1016/j.neuroimage.2014.03.059,Mapping glucose-mediated gut-to-brain signalling pathways in humans☆,Neuroimage,2014,https://creativecommons.org/licenses/by/3.0/,12.0,,,1,12.0,,
7430162,32848650.0,10.3389/fnint.2020.00043,Antero-Posterior vs. Lateral Vestibular Input Processing in Human Visual Cortex,Front Integr Neurosci,2020,http://creativecommons.org/licenses/by/4.0/,13.0,7.0,6.0,1,13.0,,
3362560,22666470.0,10.1371/journal.pone.0038155,Brain Circuitries Involved in Semantic Interference by Demands of Emotional and Non-Emotional Distractors,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/,24.0,,,1,24.0,,
3407245,22848453.0,10.1371/journal.pone.0041263,"Functional Anatomy of the Masking Level Difference, an fMRI Study",PLoS One,2012,http://creativecommons.org/licenses/by/4.0/,10.0,5.0,5.0,1,,,10.0
7745153,33104801.0,10.1093/scan/nsaa145,Expecting social punishment facilitates control over a decision under uncertainty by recruiting medial prefrontal cortex,Soc Cogn Affect Neurosci,2020,http://creativecommons.org/licenses/by/4.0/,46.0,14.0,32.0,1,,,46.0
3334814,22536185.0,10.3389/fnagi.2012.00004,The effects of age on cerebral activations: internally versus externally driven processes,Front Aging Neurosci,2012,http://www.frontiersin.org/licenseagreement,103.0,51.0,52.0,1,103.0,,
5537800,28671558.0,10.3390/nu9070685,Brain Functional Connectivity Is Modified by a Hypocaloric Mediterranean Diet and Physical Activity in Obese Women,Nutrients,2017,http://creativecommons.org/licenses/by/4.0/,16.0,,,1,,,16.0
4175730,25258037.0,10.1038/srep06482,Acupuncture modulates cortical thickness and functional connectivity in knee osteoarthritis patients,Sci Rep,2014,http://creativecommons.org/licenses/by-nc-nd/4.0/,30.0,,,1,,30.0,
3002948,21179564.0,10.1371/journal.pone.0015268,Affective Response to a Loved One's Pain: Insula Activity as a Function of Individual Differences,PLoS One,2010,http://creativecommons.org/licenses/by/4.0/,15.0,6.0,9.0,1,,,15.0
3520927,23251595.0,10.1371/journal.pone.0051617,Effects of Apolipoprotein E Genotype on the Off-Line Memory Consolidation,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/,2.0,,,1,2.0,,
3182403,21969917.0,10.4061/2011/742907,A Perfusion MRI Study of Emotional Valence and Arousal in Parkinson's Disease,Parkinsons Dis,2011,https://creativecommons.org/licenses/by/3.0/,21.0,,,1,,,21.0
5460049,28338882.0,10.1093/scan/nsx003,Tribal love: the neural correlates of passionate engagement in football fans,Soc Cogn Affect Neurosci,2017,http://creativecommons.org/licenses/by-nc/4.0/,56.0,,,1,,,56.0
6847157,31393979.0,10.1093/scan/nsz056,Laughter is in the air: involvement of key nodes of the emotional motor system in the anticipation of tickling,Soc Cogn Affect Neurosci,2019,http://creativecommons.org/licenses/by-nc/4.0/,31.0,,,1,31.0,,
8550949,31801965.0,10.1038/s41380-019-0619-6,The neural and molecular basis of working memory function in psychosis: a multimodal PET-fMRI study,Mol Psychiatry,2019,https://creativecommons.org/licenses/by/4.0/,66.0,,,1,,,66.0
7989009,33757435.0,10.1186/s12868-021-00625-4,Framing and self-responsibility modulate brain activities in decision escalation,BMC Neurosci,2021,http://creativecommons.org/licenses/by/4.0/,29.0,,,1,,,29.0
4319399,25705184.0,10.3389/fnhum.2015.00005,Between-hand difference in ipsilateral deactivation is associated with hand lateralization: fMRI mapping of 284 volunteers balanced for handedness,Front Hum Neurosci,2015,http://creativecommons.org/licenses/by/4.0/,284.0,,,1,284.0,,
4838249,27096431.0,10.1371/journal.pone.0152000,The Role of the Insular Cortex in Retaliation,PLoS One,2016,http://creativecommons.org/licenses/by/4.0/,15.0,,,1,15.0,,
7481390,33192358.0,10.3389/fnbeh.2020.00154,Effects of Autonomous Sensory Meridian Response on the Functional Connectivity as Measured by Functional Magnetic Resonance Imaging,Front Behav Neurosci,2020,http://creativecommons.org/licenses/by/4.0/,28.0,13.0,15.0,1,28.0,,
5717028,29249930.0,10.3389/fnins.2017.00656,Effects of Field-Map Distortion Correction on Resting State Functional Connectivity MRI,Front Neurosci,2017,http://creativecommons.org/licenses/by/4.0/,40.0,,,1,40.0,,
7875881,33584355.0,10.3389/fpsyt.2020.538333,Enhanced Functional Connectivity Within Executive Function Network in Remitted or Partially Remitted MDD Patients,Front Psychiatry,2020,http://creativecommons.org/licenses/by/4.0/,36.0,,,2,17.0,19.0,
6868994,22936472.0,10.1002/hbm.22151,Effects of prior information on decoding degraded speech: An fMRI study,Hum Brain Mapp,2012,open-access,29.0,14.0,15.0,1,29.0,,
3676955,23762172.0,10.1155/2013/932581,fMRI Evidence of Acupoints Specificity in Two Adjacent Acupoints,Evid Based Complement Alternat Med,2013,https://creativecommons.org/licenses/by/3.0/,33.0,16.0,17.0,1,33.0,,
4473263,26106568.0,10.1016/j.nicl.2015.03.013,Altered resting-state network connectivity in stroke patients with and without apraxia of speech,Neuroimage Clin,2015,http://creativecommons.org/licenses/by-nc-nd/4.0/,50.0,,,2,18.0,32.0,
