count,diagnosis,group_name,subgroup_name,male count,female count,age mean,age range,age minimum,age maximum,age median,rank,start_char,end_char,pmcid
23.0,,healthy,,18.0,5.0,222.0,,,,,,10707,11145,4330553
16.0,,healthy,,,,,,,,,,28053,28467,3183226
15.0,healthy,undergraduate students,,10.0,5.0,,20-22 years,,,,,9041,9577,6989437
20.0,,healthy,,12.0,8.0,24.4,19-35,19.0,35.0,,,7853,8437,3147157
10.0,,healthy,,4.0,6.0,20.8,,,,,,11679,12501,6528067
51.0,adults,Study 1 (Behavioral),,10.0,41.0,43.71,27.49-55.91,27.49,55.91,,,9809,11672,6664004
53.0,adolescents,Study 1 (Behavioral),,26.0,27.0,13.37,12.18-14.82,12.18,14.82,,,9809,11672,6664004
51.0,,healthy,,26.0,25.0,13.98,12.03-15.94,12.03,15.94,,,9809,11672,6664004
33.0,healthy,volunteers,right-handed,17.0,16.0,25.3,2.8,,,,,3877,4423,3676955
20.0,healthy,students,undergraduate and postgraduate,10.0,10.0,22.3,19-28,19.0,28.0,,,9427,10109,7002496
18.0,,healthy,,9.0,9.0,32.0,20-32,20.0,32.0,26.0,,6580,6988,4318429
11.0,,healthy,,8.0,3.0,33.1,25-47 years,25.0,47.0,,,9509,10064,6328158
33.0,,healthy,,,,,,,,,,46685,47319,7156375
23.0,,healthy,right-handed,,,27.69,,,,,,59146,59841,2144768
18.0,healthy,volunteers,right-handed,9.0,9.0,23.67,19-35,19.0,35.0,,,59146,59841,2144768
43.0,,healthy,,10.0,21.0,24.3,20-29,20.0,29.0,,,10334,11086,6847157
23.0,community-dwelling young men,patients,community-dwelling cases,23.0,0.0,29.9,29.9-29.9,29.9,29.9,29.9,,4925,6082,9548384
17.0,,healthy,,,,24.0,18-31,18.0,31.0,,,15536,16064,5902547
18.0,,healthy,male,18.0,0.0,22.33,,,,,,6364,7265,4838249
29.0,,healthy,,,,34.5,,,,,,7334,7745,6868994
872.0,healthy,participants,females,546.0,872.0,22.39,18-35,18.0,35.0,,,24189,25345,9564100
24.0,,healthy,female,0.0,24.0,24.0,20-30 years,20.0,30.0,,,13949,14774,3965851
18.0,,healthy,female,0.0,18.0,24.0,20-30 years,20.0,30.0,,,13949,14774,3965851
40.0,,healthy,older adult,24.0,16.0,68.4,5.8 years,,,,,6784,7467,5717028
12.0,,healthy,,6.0,6.0,25.4,20-40,20.0,40.0,,,9653,9985,2151069
58.0,free from self-reported life-time psychiatric or neurological disease and medication,participants,right-handed,26.0,32.0,24.02,,,,,,6544,7179,3492343
10.0,,healthy,,5.0,5.0,29.5,23-43,23.0,43.0,29.5,,19626,20086,3407245
