pmcid,n_participants
4565057,
7563756,29.0
5030332,80.0
6678781,
5902547,
6820536,40.0
8154462,20.0
5324609,
8544331,36.0
3447931,40.0
3965851,
7395771,
5460048,
6382839,34.0
6197719,92.0
2748718,30.0
4330553,4.0
4271330,
6290711,52.0
7005761,16.0
2648877,
6667657,12.0
5665859,
4589842,22.0
3984441,33.0
7272423,
3869649,19.0
4029023,10.0
4115625,
4318429,18.0
4017227,
8379626,67.0
3492343,58.0
3183226,
3991323,
5548834,
3780305,17.0
6344389,18.0
4174863,46.0
5596109,
7002496,20.0
4274095,20.0
6347794,38.0
7829678,53.0
5390693,233.0
6664004,
6878729,8.0
7779563,34.0
3483694,
8315277,
5870086,28.0
5598991,
7649291,12.0
5776089,21.0
6328158,
2151069,12.0
4075342,12.0
7430162,13.0
3775427,
3362560,24.0
3407245,10.0
7745153,46.0
7156375,
6016936,
3334814,103.0
4265725,
5537800,16.0
4175730,30.0
4030253,
3002948,15.0
6024199,
3520927,2.0
5218407,
3660406,
3182403,21.0
5460049,56.0
6847157,31.0
6585311,
8550949,66.0
7989009,29.0
2775905,
6246657,
3502502,
3510214,
2995581,
4319399,284.0
4838249,15.0
7481390,28.0
5717028,40.0
7875881,36.0
6868994,29.0
3409150,
4352055,
2144768,
3676955,33.0
4473263,50.0
3511796,44.0
8318202,
6528067,10.0
3147157,20.0
6509414,
2561002,
6136263,20.0
5279905,3.0
8785646,
5068584,56.0
5903407,
3554651,
2494616,
3742334,18.0
8018944,
8172304,72.0
3877773,
6989437,
6854061,198.0
4190683,
7194032,
7838677,39.0
6908505,70.0
5394595,8.0
7260173,39.0
5413198,60.0
4810172,20.0
2390848,15.0
6457314,83.0
8152834,40.0
3866656,17.0
4184784,
6697392,
7518235,24.0
5857897,5.0
7038454,
3893192,2.0
4869560,59.0
5281680,
7994216,24.0
5686883,
3258233,12.0
8615904,
3422286,12.0
7275020,90.0
4436102,
4522562,
4983635,
6389716,82.0
7057279,55.0
8699602,
6434022,
4370584,40.0
3078751,14.0
7913329,63.0
4530666,
3539852,
4034409,
7406917,7.0
4029608,
3869681,
4255751,
4732188,42.0
5371603,3.0
5719057,
6200185,75.0
4280551,
4477935,20.0
8569140,60.0
7493988,10.0
2993660,77.0
6688454,17.0
8893203,
6726765,18.0
7090024,67.0
6198067,
3889700,2.0
7339141,20.0
6699415,5.0
4416052,86.0
4975394,
7758977,
6675526,
7456884,19.0
6350268,63.0
4380440,
5655292,65.0
5104469,
7099000,
5270359,15.0
4458841,
7004957,
3605341,40.0
5758587,28.0
6220927,
3045463,
4048172,2.0
5881103,30.0
4717328,20.0
3894920,6.0
7082218,
3672681,46.0
4332461,32.0
8459240,
2935390,10.0
3791281,24.0
6646524,27.0
4990879,60.0
5266856,
3842522,48.0
7836234,
3701149,
3788350,
3913832,
8764488,20.0
3132672,
5832413,
7643395,
4072722,16.0
5339238,
5890144,32.0
6004505,
4936600,
7981326,15.0
4493392,18.0
5428836,
4215530,
7851842,35.0
5447679,33.0
7539836,96.0
6908964,
4349631,
3777673,
6195265,15.0
2525845,
6215330,22.0
7933165,99.0
3324921,20.0
5552726,
3423412,36.0
6086096,62.0
5390719,18.0
4117995,31.0
4366107,24.0
7029184,
2991239,
3365275,
7657454,
3251569,15.0
5225377,37.0
8163792,
8174049,98.0
8166909,
5371620,29.0
5139983,10.0
6668217,
3061355,1.0
7499173,6.0
5944238,
5962315,
8869855,32.0
5996277,
8753344,55.0
6939096,313.0
3315027,9.0
3830782,2.0
2736621,24.0
3958452,
4061064,27.0
7469830,49.0
6934551,21.0
5655021,2.0
5919964,20.0
5963507,
4382275,
7202324,
4596928,
6908882,
7306625,
8862392,67.0
3349667,17.0
6895037,76.0
6538491,19.0
4431729,
6209854,32.0
3262831,2.0
4309950,
5102642,
3744007,10.0
6066986,
7696273,14.0
7200443,
4856878,105.0
3660659,29.0
5557775,17.0
3015134,25.0
3905188,21.0
3902357,22.0
5772436,38.0
4480007,38.0
8548369,32.0
6252312,
5829027,30.0
4007379,
7943366,43.0
4053214,3.0
7275001,
5120778,
7817621,7.0
3319663,48.0
3930859,58.0
4211402,24.0
5094780,
5891971,
5744997,
6753164,23.0
3260530,24.0
1824707,
4543815,34.0
6332472,54.0
4183523,60.0
8612467,42.0
3777795,52.0
4410791,20.0
8861450,
3381445,
4860869,
4587539,53.0
7061333,34.0
8035440,64.0
3272045,
3140495,50.0
5101412,
8228527,
3675382,12.0
6819787,20.0
5447013,
8379217,296.0
5349082,
8459611,
8196262,
6175904,9.0
8090840,16.0
4749714,27.0
7890357,
3395705,
4697303,
6847411,
3682439,20.0
3815020,
3948047,43.0
3668141,32.0
4585139,
7527240,21.0
8050264,17.0
7416090,20.0
3808277,14.0
3373504,
7424029,
6405852,424.0
8752324,
3899022,27.0
6400097,16.0
3896871,69.0
3591747,
